Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Kesselzustand PK;DAQ-ANA;3;;r;11588;11589;0,1;;;;;Initialisierung;Aus;SR Init;Start;Zündung Einschub;Zündung Pause;Leistungsbrand Start;Leistungsbrand;Gluterhaltung;Ausbrand;Entaschung Rost;Entaschung Nachlauf;Reinigung;Füllen Start;Füllen;Handbetrieb;Aschebox Warten;Verbrennungsassistent;ABS;STB;
O2-Soll;DAQ-ANA;3;;r;11592;11593;;%;;;;;;;;;;;;;;;;;;;;;;;;
Kesseltemperatur;DAQ-ANA;3;;r;10082;10083;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kessel-Solltemperatur;DAQ-ANA;3;;r;11538;11539;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Rücklauftemperatur;DAQ-ANA;3;;r;11514;11515;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Rücklauf-Solltemperatur;DAQ-ANA;3;;r;11610;11611;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Spreizung Rücklauf;DAQ-ANA;3;;r;11684;11685;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Rauchgastemperatur;DAQ-ANA;3;;r;11512;11513;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur oben;DAQ-ANA;3;;rw;10122;10123;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur Mitte;DAQ-ANA;3;;rw;10254;10255;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur unten;DAQ-ANA;3;;rw;10124;10125;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Pufferfüllgrad Zentralpuffer;DAQ-ANA;3;;r;11342;11343;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
Puffer oben Sollwert;DAQ-ANA;3;;r;11344;11345;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffer unten Sollwert;DAQ-ANA;3;;r;11346;11347;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Zentralpuffer;DAQ-ANA;3;;r;10202;10203;0,1;;;;;Aus;Restwärme;Ein;Laden;Handbetrieb;Rauchfangkehrer;;;;;;;;;;;;;;;
höchste Anforderung Kessel;DAQ-ANA;3;;r;11678;11679;;;;;;;;;;;;;;;;;;;;;;;;;;
Fremdwärmetemperatur;DAQ-ANA;3;;rw;11500;11501;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Kesselleistung;DAQ-ANA;3;;r;11536;11537;;%;;;;;;;;;;;;;;;;;;;;;;;;
Programmwahlschalter;DAQ-ANA;3;6;rw;11336;11337;0,1;;;;;Hand;Aus;Boiler;Auto;Feuerung aus;;;;;;;;;;;;;;;;
aktuelle Störungsnummer;DAQ-ANA;3;;r;11530;11531;;;;;;;;;;;;;;;;;;;;;;;;;;
höchste Anforderung Zentralpuffer;DAQ-ANA;3;;r;13246;13247;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Strom Einschubschnecke;DAQ-ANA;3;;r;11628;11629;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Raumaustragung;DAQ-ANA;3;;r;11630;11631;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Ascheaustragung;DAQ-ANA;3;;r;11632;11633;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Schieberost;DAQ-ANA;3;;r;11836;11837;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Strom Putzeinrichtung;DAQ-ANA;3;;r;11838;11839;;mA;;;;;;;;;;;;;;;;;;;;;;;;
Einschub seit letztem Füllen;DAQ-ANA;3;;r;11676;11677;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Einschub seit letzter Entaschung;DAQ-ANA;3;;r;11850;11851;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Einschub seit letzter Entaschung;DAQ-ANA;3;;r;11850;11851;;Min;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl Entaschungen;DAQ-ANA;3;;r;11852;11853;;;;;;;;;;;;;;;;;;;;;;;;;;
Anzahl Bewegungen Schieberost;DAQ-ANA;3;;r;11854;11855;;;;;;;;;;;;;;;;;;;;;;;;;;
Lagerstand Brennstoff;DAQ-ANA;3;;r;11534;11535;0,1;kg;;;;;;;;;;;;;;;;;;;;;;;;
Verbrauch Pellets;DAQ-ANA;3;;r;11858;11859;;kg;;;;;;;;;;;;;;;;;;;;;;;;
Spannung Netzteil;DAQ-ANA;3;;r;11862;11863;;mV;;;;;;;;;;;;;;;;;;;;;;;;
Temperatur Nano-PK Plus;DAQ-ANA;3;;r;11860;11861;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Temperatur Platine;DAQ-ANA;3;;r;11682;11683;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur geregelte Fernleitung;DAQ-ANA;3;;r;11278;11279;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur geregelte Fernleitung 2;DAQ-ANA;3;;r;11942;11943;;°C;;;;;;;;;;;;;;;;;;;;;;;;
AIN 17;DAQ-ANA;3;;r;11856;11857;;V;;;;;;;;;;;;;;;;;;;;;;;;
Außentemperatur;DAQ-ANA;3;;rw;10008;10009;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Außentemperatur gemittelt;DAQ-ANA;3;;r;10006;10007;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffer-Solltemperatur;DAQ-ANA;3;;r;11260;11261;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur Mitte oben;DAQ-ANA;3;;rw;11504;11505;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Puffertemperatur Mitte unten;DAQ-ANA;3;;rw;11506;11507;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Programmwahlschalter HKM1;DAQ-ANA;3;;r;11338;11339;;;;;;Hand;Aus;Boiler;Auto;;;;;;;;;;;;;;;;;
Programmwahlschalter HKM2;DAQ-ANA;3;;r;11340;11341;;;;;;;;;;;;;;;;;;;;;;;;;;
Anf. externer HK Spannung;DAQ-ANA;3;;r;11300;11301;;V;;;;Hand;Aus;Boiler;Auto;;;;;;;;;;;;;;;;;
Solltemperatur externer Heizkreis;DAQ-ANA;3;;r;11296;11297;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur externer Heizkreis 2;DAQ-ANA;3;;r;11292;11293;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur externer Heizkreis 3;DAQ-ANA;3;;r;11294;11295;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis A;DAQ-ANA;3;;r;10244;10245;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis A;DAQ-ANA;3;;r;10246;10247;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis A;DAQ-ANA;3;;r;10052;10053;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis A;DAQ-ANA;3;;r;11226;11227;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis A;DAQ-ANA;3;;r;10248;10249;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis A;DAQ-ANA;3;;r;11542;11543;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HKA;DAQ-ANA;3;;rw;11000;11001;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis 1;DAQ-ANA;3;;r;10144;10145;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis 1;DAQ-ANA;3;;r;10146;10147;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis 1;DAQ-ANA;3;;r;10040;10041;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis 1;DAQ-ANA;3;;r;11228;11229;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis 1;DAQ-ANA;3;;r;10178;10179;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis 1;DAQ-ANA;3;;r;11544;11545;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HK1;DAQ-ANA;3;;rw;11002;11003;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis 2;DAQ-ANA;3;;r;10148;10149;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis 2;DAQ-ANA;3;;r;10150;10151;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis 2;DAQ-ANA;3;;r;10042;10043;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis 2;DAQ-ANA;3;;r;11230;11231;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis 2;DAQ-ANA;3;;r;10180;10181;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis 2;DAQ-ANA;3;;r;11546;11547;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HK2;DAQ-ANA;3;;rw;11004;11005;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis 3;DAQ-ANA;3;;r;10152;10153;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis 3;DAQ-ANA;3;;r;10154;10155;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis 3;DAQ-ANA;3;;r;10044;10045;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis 3;DAQ-ANA;3;;r;11232;11233;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis 3;DAQ-ANA;3;;r;10182;10183;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis 3;DAQ-ANA;3;;r;11548;11549;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HK3;DAQ-ANA;3;;rw;11006;11007;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis 4;DAQ-ANA;3;;r;10156;10157;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis 4;DAQ-ANA;3;;r;10158;10159;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis 4;DAQ-ANA;3;;r;10046;10047;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis 4;DAQ-ANA;3;;r;11234;11235;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis 4;DAQ-ANA;3;;r;10184;10185;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis 4;DAQ-ANA;3;;r;11550;11551;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HK4;DAQ-ANA;3;;rw;11008;11009;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis 5;DAQ-ANA;3;;r;10160;10161;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis 5;DAQ-ANA;3;;r;10162;10163;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis 5;DAQ-ANA;3;;r;10048;10049;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis 5;DAQ-ANA;3;;r;11236;11237;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis 5;DAQ-ANA;3;;r;10186;10187;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis 5;DAQ-ANA;3;;r;11552;11553;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HK5;DAQ-ANA;3;;rw;11010;11011;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis 6;DAQ-ANA;3;;r;10164;10165;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis 6;DAQ-ANA;3;;r;10166;10167;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis 6;DAQ-ANA;3;;r;10050;10051;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis 6;DAQ-ANA;3;;r;11238;11239;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis 6;DAQ-ANA;3;;r;10188;10189;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis 6;DAQ-ANA;3;;r;11554;11555;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HK6;DAQ-ANA;3;;rw;11012;11013;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauftemperatur Heizkreis B;DAQ-ANA;3;;r;10300;10301;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Vorlauf-Solltemperatur Heizkreis B;DAQ-ANA;3;;r;10302;10303;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raumfühler Heizkreis B;DAQ-ANA;3;;r;10296;10297;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Raum-Solltemperatur Heizkreis B;DAQ-ANA;3;;r;11302;11303;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Heizkreis B;DAQ-ANA;3;;r;10304;10305;;;;;;Aus;Heizen;Rampe Absenken;Absenken;Tag/Nacht Abschaltung;Sommerabschaltung;Frostschutz;Estrich;Handbetrieb;Restwärme;Solarheizen;;;;;;;;;;
Raumfernbedienung Zustand Heizkreis B;DAQ-ANA;3;;r;11556;11557;;;;;;Keine;Auto;Nacht;Tag;Aus;Party;Frostschutz;;;;;;;;;;;;;;
Vorgabe Raumtemp. HKB;DAQ-ANA;3;;rw;11014;11015;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Temperatur Boiler A;DAQ-ANA;3;;r;10016;10017;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur Boiler A;DAQ-ANA;3;;r;11252;11253;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Boiler A;DAQ-ANA;3;;r;10196;10197;;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
Temperatur Boiler 1;DAQ-ANA;3;;r;10010;10011;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur Boiler 1;DAQ-ANA;3;;r;11254;11255;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Boiler 1;DAQ-ANA;3;;r;10190;10191;;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
Temperatur Boiler 2;DAQ-ANA;3;;r;10012;10013;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur Boiler 2;DAQ-ANA;3;;r;11256;11257;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Boiler 2;DAQ-ANA;3;;r;10192;10193;;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
Temperatur Boiler 3;DAQ-ANA;3;;r;10014;10015;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur Boiler 3;DAQ-ANA;3;;r;11258;11259;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Boiler 3;DAQ-ANA;3;;r;10194;10195;;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
Temperatur Boiler B;DAQ-ANA;3;;r;10294;10295;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Solltemperatur Boiler B;DAQ-ANA;3;;r;11298;11299;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Zustand Boiler B;DAQ-ANA;3;;r;10306;10307;;;;;;Aus;Laden;Restwärme;Übertemperatur;Handbetrieb;ABS;;;;;;;;;;;;;;;
höchste Anforderung aller Heizkreisregler;DAQ-ANA;3;;r;11680;11681;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 0;DAQ-ANA;3;;r;11304;11305;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 1;DAQ-ANA;3;;r;11306;11307;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 2;DAQ-ANA;3;;r;11308;11309;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 3;DAQ-ANA;3;;r;11310;11311;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 4;DAQ-ANA;3;;r;11312;11313;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 5;DAQ-ANA;3;;r;11314;11315;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 6;DAQ-ANA;3;;r;11316;11317;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 7;DAQ-ANA;3;;r;11318;11319;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 8;DAQ-ANA;3;;r;11320;11321;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 9;DAQ-ANA;3;;r;11322;11323;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 10;DAQ-ANA;3;;r;11324;11325;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 11;DAQ-ANA;3;;r;11326;11327;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 12;DAQ-ANA;3;;r;11328;11329;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 13;DAQ-ANA;3;;r;11330;11331;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 14;DAQ-ANA;3;;r;11332;11333;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Anforderung Heizkreisregler 15;DAQ-ANA;3;;r;11334;11335;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 1;DAQ-ANA;3;;r;11432;11433;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 2;DAQ-ANA;3;;r;11434;11435;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 3;DAQ-ANA;3;;r;11436;11437;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 4;DAQ-ANA;3;;r;11438;11439;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 5;DAQ-ANA;3;;r;11440;11441;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 6;DAQ-ANA;3;;r;11442;11443;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 7;DAQ-ANA;3;;r;11444;11445;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Analog 8;DAQ-ANA;3;;r;11446;11447;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 PT1000 1;DAQ-ANA;3;;r;11448;11449;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 PT1000 2;DAQ-ANA;3;;r;11450;11451;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 PT1000 3;DAQ-ANA;3;;r;11452;11453;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 PT1000 4;DAQ-ANA;3;;r;11454;11455;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Type-K 1;DAQ-ANA;3;;r;11456;11457;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Type-K 2;DAQ-ANA;3;;r;11458;11459;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Type-K 3;DAQ-ANA;3;;r;11460;11461;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 1 Type-K 4;DAQ-ANA;3;;r;11462;11463;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 1;DAQ-ANA;3;;r;11464;11465;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 2;DAQ-ANA;3;;r;11466;11467;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 3;DAQ-ANA;3;;r;11468;11469;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 4;DAQ-ANA;3;;r;11470;11471;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 5;DAQ-ANA;3;;r;11472;11473;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 6;DAQ-ANA;3;;r;11474;11475;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 7;DAQ-ANA;3;;r;11476;11477;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Analog 8;DAQ-ANA;3;;r;11478;11479;;V;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 PT1000 1;DAQ-ANA;3;;r;11480;11481;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 PT1000 2;DAQ-ANA;3;;r;11482;11483;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 PT1000 3;DAQ-ANA;3;;r;11484;11485;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 PT1000 4;DAQ-ANA;3;;r;11486;11487;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Type-K 1;DAQ-ANA;3;;r;11488;11489;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Type-K 2;DAQ-ANA;3;;r;11490;11491;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Type-K 3;DAQ-ANA;3;;r;11492;11493;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Type-K 4;DAQ-ANA;3;;r;11494;11495;;°C;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Input-Capture 1;DAQ-ANA;3;;r;11496;11497;;Hz;;;;;;;;;;;;;;;;;;;;;;;;
Sensorplatine 2 Input-Capture 2;DAQ-ANA;3;;r;11498;11499;;Hz;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 1 Vorlauftemperatur;DAQ-ANA;3;;r;11016;11017;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 1 Rücklauftemperatur;DAQ-ANA;3;;r;11018;11019;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 1 Leistung;DAQ-ANA;3;;r;11020;11021;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 1 Durchfluss;DAQ-ANA;3;;r;11022;11023;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 1 Energie;DAQ-ANA;3;;r;11024;11025;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 2 Vorlauftemperatur;DAQ-ANA;3;;r;11026;11027;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 2 Rücklauftemperatur;DAQ-ANA;3;;r;11028;11029;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 2 Leistung;DAQ-ANA;3;;r;11030;11031;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 2 Durchfluss;DAQ-ANA;3;;r;11032;11033;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 2 Energie;DAQ-ANA;3;;r;11034;11035;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 3 Vorlauftemperatur;DAQ-ANA;3;;r;11036;11037;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 3 Rücklauftemperatur;DAQ-ANA;3;;r;11038;11039;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 3 Leistung;DAQ-ANA;3;;r;11040;11041;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 3 Durchfluss;DAQ-ANA;3;;r;11042;11043;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 3 Energie;DAQ-ANA;3;;r;11044;11045;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 4 Vorlauftemperatur;DAQ-ANA;3;;r;11046;11047;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 4 Rücklauftemperatur;DAQ-ANA;3;;r;11048;11049;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 4 Leistung;DAQ-ANA;3;;r;11050;11051;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 4 Durchfluss;DAQ-ANA;3;;r;11052;11053;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 4 Energie;DAQ-ANA;3;;r;11054;11055;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 5 Vorlauftemperatur;DAQ-ANA;3;;r;11056;11057;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 5 Rücklauftemperatur;DAQ-ANA;3;;r;11058;11059;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 5 Leistung;DAQ-ANA;3;;r;11060;11061;;kW;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 5 Durchfluss;DAQ-ANA;3;;r;11062;11063;;l/h;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 5 Energie;DAQ-ANA;3;;r;11064;11065;;kWh;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 6 Vorlauftemperatur;DAQ-ANA;3;;r;11066;11067;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 6 Rücklauftemperatur;DAQ-ANA;3;;r;11068;11069;;°C;;;;;;;;;;;;;;;;;;;;;;;;
MBUS Kanal 6 Leistung;DAQ-ANA;3;;r;11070;11071;;kW;;;;;;;;;;;;;;;;;;;;;;;;
