Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Kaskade Kaskade Entaschung immer freigegeben;WAHL;3;;rw;23693;23694;;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
Differenzregler Differenzregler Funktion;WAHL;3;;rw;21263;21264;;;;;;Nicht vorhanden;1 Kreis;2 Kreise;Fremdwärmekessel;;;;;;;;;;;;;;;;;
Differenzregler Differenzregler aktiv ab Wärmequelle;INT;3;;rw;21264;21265;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Differenzregler Abschaltung ab Wärmequelle;INT;3;;rw;21265;21266;;°C;10;140;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Differenzregler aktiv ab Wärmequelle;INT;3;;rw;21266;21267;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Differenzregler Freigabezeit;TPROG;3;;rw;21562;21563;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21267;21268;;;;;;IO36 Klemme 209/210;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
Differenzregler Überhöhung der Wärmequelle (Kreis 1);INT;3;;rw;21268;21269;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Schaltdifferenz (Kreis 1);INT;3;;rw;21269;21270;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Abschaltung Kreis 1;INT;3;;rw;21270;21271;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21271;21272;;;;;;IO36 Klemme 209/210;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
Differenzregler Überhöhung der Wärmequelle (Kreis 2);INT;3;;rw;21272;21273;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Schaltdifferenz (Kreis 2);INT;3;;rw;21273;21274;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Abschaltung Kreis 2;INT;3;;rw;21274;21275;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Parallelbetrieb Kreis 1 + 2;WAHL;3;;rw;21275;21276;;;;;;Nein (ohne Ventil);Nein (Ventil vorhanden);Ja;;;;;;;;;;;;;;;;;;
Differenzregler Umschaltung auf Kreis 2 wenn Differenz bei Kreis 1 kleiner;INT;3;;rw;21276;21277;;°C;1;20;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Umschaltung auf Kreis 2 wenn Kreis 1 über;INT;3;;rw;21277;21278;;°C;20;90;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Zeitverzögerung für Umschaltung zwischen den Kreisen;INT;3;;rw;21278;21279;;Min;0;60;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Fremdwärmekessel;WAHL;3;;rw;21279;21280;;;;;;mit Rücklaufmischer;nur Pumpe;;;;;;;;;;;;;;;;;;;
Differenzregler Mischerlaufzeit;INT;3;;rw;21280;21281;;Sek;10;300;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Rücklauftemperatur Sollwert;INT;3;;rw;21281;21282;;°C;10;90;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Info bei nicht erreichter Rücklauftemperatur;INT;3;;rw;21282;21283;;°C;10;90;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Zeit für Info;INT;3;;rw;21283;21284;;Min;1;120;1;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21284;21285;;;;;;IO36 Klemme 209/210;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
Differenzregler Überhöhung der Wärmequelle (Fremdwärmekessel);INT;3;;rw;21285;21286;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Schaltdifferenz (Fremdwärmekessel);INT;3;;rw;21286;21287;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Sicherheitsschaltung ab Wärmequelle (IO36 Klemme 207/208);INT;3;;rw;21287;21288;;°C;80;105;1;;;;;;;;;;;;;;;;;;;;;
Differenzregler Wärmemengenzähler Differenzregler;WAHL;3;;rw;21288;21289;;;;;;Inaktiv;Aktiv;;;;;;;;;;;;;;;;;;;
Differenzregler Durchfluss Pumpe 1 Maximum;FLOAT;3;;rw;21289;21290;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
Differenzregler Durchfluss Pumpe 2 Maximum;FLOAT;3;;rw;21291;21292;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
Differenzregler Durchfluss Pumpe 3 Maximum;FLOAT;3;;rw;21293;21294;;l/min;0.00;999.00;0.10;;;;;;;;;;;;;;;;;;;;;
Differenzregler Wärmekapazität Trägermedium;FLOAT;3;;rw;21295;21296;;Wh/kgK;0.10;3.00;0.00;;;;;;;;;;;;;;;;;;;;;
Differenzregler Abtaufunktion;WAHL;3;;rw;24307;24308;;;;;;Nicht vorhanden;Vorhanden;;;;;;;;;;;;;;;;;;;
Differenzregler Dauer Abtaufunktion;INT;3;;rw;24308;24309;;Min;1;30;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Fremdwärmeregler 2;WAHL;3;;rw;21297;21298;;;;;;Nicht vorhanden;1 Kreis;2 Kreise;Fremdwärmekessel;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Differenzregler aktiv ab Wärmequelle;INT;3;;rw;21298;21299;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Differenzregler Abschaltung ab Wärmequelle;INT;3;;rw;21299;21300;;°C;10;140;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Fremdwärmeregler 2 aktiv ab Wärmequelle;INT;3;;rw;21300;21301;;°C;10;95;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Fremdwärmeregler Freigabezeit;TPROG;3;;rw;21566;21567;;;;;;;;;;;;;;;;;;;;;;;;;;
;;3;;rw;21301;21302;;;;;;IO36 Klemme 209/210;Zentralpufferfühler oben;Zentralpufferfühler Mitte;Zentralpufferfühler unten;Zentralpufferfühler TPMO;Zentralpufferfühler TPMU;Boilerfühler A;Boilerfühler 1;Boilerfühler 2;Boilerfühler 3;Boilerfühler B;Platine S Klemme S2;Zusatzpufferfühler HKM0 oben;Zusatzpufferfühler HKM0 Mitte;Zusatzpufferfühler HKM0 unten;Zusatzpufferfühler HKM1 oben;Zusatzpufferfühler HKM1 Mitte;Zusatzpufferfühler HKM1 unten;Zusatzpufferfühler HKM2 oben;Zusatzpufferfühler HKM2 Mitte;Zusatzpufferfühler HKM2 unten
Fremdwärmeregler 2 Überhöhung der Wärmequelle (Kreis 1);INT;3;;rw;21302;21303;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
Fremdwärmeregler 2 Schaltdifferenz (Kreis 1);INT;3;;rw;21303;21304;;°C;1;50;1;;;;;;;;;;;;;;;;;;;;;
