Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
C6;system;;;;Externer Heizkreis Solltemperatur;WAHL;3;;rw;20904;20905;1;;;;;Einstellwert;Analog;;;;;;;;;;;;;;;;;;;
C6a;system;;;;Externer Heizkreis Solltemperatur;INT;3;;rw;20905;20906;1;°C;1;84;1;;;;;;;;;;;;;;;;;;;;;
C7;system;;;;Funktion Klemme 83;WAHL;3;;rw;21866;21867;1;;;;;Störlampe;Externe Pumpe;Fernleitung 1;;;;;;;;;;;;;;;;;;
C8;system;;;;Externe Heizkreise an FLP;WAHL;3;;rw;20906;20907;1;;;;;keine Fernleitung;mit Fernleitung 1;geregelte Fernleitung 1;geregelte Fernleitung 2;;;;;;;;;;;;;;;;;
C9;fremdwaerme;;;;Fremdwärme;WAHL;3;;rw;20908;20909;1;;;;;Nicht vorhanden;Öl/Gas;Festbrennstoff;;;;;;;;;;;;;;;;;;
C30;zusatzpuffer_hkm1;;;;Zusatzpuffer HKM1 Zusatzpuffer HKM1;WAHL;3;;rw;23869;23870;1;;;;;Nicht vorhanden;Puffer mit HKV;Puffer mit 1F;Puffer mit 2F;Puffer mit 3F;Puffer mit 5F;;;;;;;;;;;;;;;
C31e;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 Volumen;INT32;3;;rw;23876;23877;1;l;0;100000;1;;;;;;;;;;;;;;;;;;;;;
C31f;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 Anzeige Füllgrad;WAHL;3;;rw;23881;23882;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
C32;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Auswahl Boiler am Zusatzpuffer HKM1;WAHL;3;;rw;23884;23885;1;;;;;"Puffer/Boiler
intern";"Puffer/Boiler
extern";;;;;;;;;;;;;;;;;;;
C33;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 Ladung beenden bei Temperatur;INT;3;;rw;23887;23888;1;°C;20;80;1;;;;;;;;;;;;;;;;;;;;;
C33a;zusatzpuffer_hkm1;C30;1,2,3,4,5;;"Zusatzpuffer HKM1 minimale Wärmequelle-
Solltemperatur bei Pufferladung";INT;3;;rw;23890;23891;1;°C;20;80;1;;;;;;;;;;;;;;;;;;;;;
C33b;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 Ladung bei jedem Kesselstart;WAHL;3;;rw;23894;23895;1;;;;;Nein;Ja;Ja, wenn Anf. vorh.;;;;;;;;;;;;;;;;;;
C33c;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Zusatzpuffer HKM1 Fühler für Beenden der Ladung (auf Grund Warmwasserbereitung);WAHL;3;;rw;23897;23898;1;;;;;Puffer unten;Puffer oben;Puffer Mitte oben;Puffer Mitte;Puffer Mitte unten;Boilerfühler;;;;;;;;;;;;;;;
