Synonym;Kategorie;Gate;Gate-aktiv-bei;Basis;Beschreibung;Typ;Registertyp lesen;Registertyp schreiben;rw;Adresse;Register;Multiplikator;Unit;Min;Max;Inc;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
Max Anf ZusPuf1;zusatzpuffer_hkm1;C30;1,2,3,4,5;;höchste Anforderung Zusatzpuffer HKM1;DAQ-ANA;3;;r;13250;13251;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPO_ZusPuf2;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer-Temperatur oben (HKM2);DAQ-ANA;3;;rw;13184;13185;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPM_ZusPuf2;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer-Temperatur Mitte (HKM2);DAQ-ANA;3;;rw;13186;13187;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
TPU_ZusPuf2;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer-Temperatur unten (HKM2);DAQ-ANA;3;;rw;13188;13189;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
Pfg_ZusPuf2;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Pufferfüllgrad Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13194;13195;0,1;%;;;;;;;;;;;;;;;;;;;;;;;;
Pumpe_ZusPuf2;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Pufferpumpe Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13218;13219;0,1;;;;;;;;;;;;;;;;;;;;;;;;;
ZusPuf2_soll oben;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Solltemperatur oben Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13220;13221;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
ZusPuf2_soll unten;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Solltemperatur unten Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13222;13223;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
ZusPuf2 Zustand;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zustand Zusatzpuffer (HKM2);DAQ-ANA;3;;r;13224;13225;0,1;;;;;Aus;Restwärme;Ein;Laden;Handbetrieb;Rauchfangkehrer;;;;;;;;;;;;;;;
Max Anf ZusPuf2;zusatzpuffer_hkm2;C40;1,2,3,4,5;;höchste Anforderung Zusatzpuffer HKM2;DAQ-ANA;3;;r;13252;13253;0,1;°C;;;;;;;;;;;;;;;;;;;;;;;;
eCleaner U-HVs;kessel;D4;1;;eCleaner Hochspannung Soll;DAQ-ANA;3;;r;13244;13245;0,1;kV;;;;;;;;;;;;;;;;;;;;;;;;
Wasserdruck;system;;;;Wasserdrucksensor;DAQ-ANA;3;;r;11686;11687;0,1;bar;;;;;;;;;;;;;;;;;;;;;;;;
Störung;kessel;D4;1;1;Störung;DAQ-DIG;3;;r;16036;16037;1;;;;;;;;;;;;;;;;;;;;;;;;;
Stb;system;;;;Sicherheitstemperaturbegrenzer;DAQ-DIG;3;;r;16072;16073;1;;;;;;;;;;;;;;;;;;;;;;;;;
Fuellstand;kessel;D4;1;1;Füllstand Pellets;DAQ-DIG;3;;r;16093;16094;1;;;;;;;;;;;;;;;;;;;;;;;;;
RLP/PuffP;zentralpuffer;C2;1,2,3,4,5;1;Pumpe Rücklauf/Puffer;DAQ-DIG;3;;r;16024;16025;1;;;;;;;;;;;;;;;;;;;;;;;;;
RLm_auf;system;;;;Rücklaufmischer Auf;DAQ-DIG;3;;r;16096;16097;1;;;;;;;;;;;;;;;;;;;;;;;;;
RLm_zu;system;;;;Rücklaufmischer Zu;DAQ-DIG;3;;r;16097;16098;1;;;;;;;;;;;;;;;;;;;;;;;;;
WS freig.;kessel;D4;1;1;Aktivität am Kessel;DAQ-DIG;3;;r;16069;16070;1;;;;;;;;;;;;;;;;;;;;;;;;;
Akt. Code;system;;;;Aktiver Servicecode/Mastercode;DAQ-DIG;3;;r;16070;16071;1;;;;;;;;;;;;;;;;;;;;;;;;;
FW Freig.;fremdwaerme;C9;1,2;;Freigabe Fremdwärme;DAQ-DIG;3;;r;16054;16055;1;;;;;;;;;;;;;;;;;;;;;;;;;
gFlP;fernleitung;;;;Pumpe geregelte Fernleitung 1;DAQ-DIG;3;;r;16059;16060;1;;;;;;;;;;;;;;;;;;;;;;;;;
gFlM auf;fernleitung;;;;Mischer Auf geregelte Fernleitung 1;DAQ-DIG;3;;r;16060;16061;1;;;;;;;;;;;;;;;;;;;;;;;;;
gFlM zu;fernleitung;;;;Mischer Zu geregelte Fernleitung 1;DAQ-DIG;3;;r;16061;16062;1;;;;;;;;;;;;;;;;;;;;;;;;;
gFl2P;fernleitung;;;;Pumpe geregelte Fernleitung 2;DAQ-DIG;3;;r;16190;16191;1;;;;;;;;;;;;;;;;;;;;;;;;;
gFl2M auf;fernleitung;;;;Mischer Auf geregelte Fernleitung 2;DAQ-DIG;3;;r;16191;16192;1;;;;;;;;;;;;;;;;;;;;;;;;;
gFl2M zu;fernleitung;;;;Mischer Zu geregelte Fernleitung 2;DAQ-DIG;3;;r;16192;16193;1;;;;;;;;;;;;;;;;;;;;;;;;;
L Heiz.;kessel;D4;1;;Heizung Lambdasonde;DAQ-DIG;3;;r;16078;16079;1;;;;;;;;;;;;;;;;;;;;;;;;;
Z Heiz.;kessel;D4;1;;Heizung Zündung;DAQ-DIG;3;;r;16079;16080;1;;;;;;;;;;;;;;;;;;;;;;;;;
Z Geb.;kessel;D4;1;;Gebläse Zündung;DAQ-DIG;3;;r;16080;16081;1;;;;;;;;;;;;;;;;;;;;;;;;;
AA Run;kessel;D4;1;;Ascheaustragung aktiv;DAQ-DIG;3;;r;16081;16082;1;;;;;;;;;;;;;;;;;;;;;;;;;
AA Dir;kessel;D4;1;;Richtung Ascheaustragung;DAQ-DIG;3;;r;16082;16083;1;;;;;;;;;;;;;;;;;;;;;;;;;
ES Run;kessel;D4;1;1;Einschubschnecke aktiv;DAQ-DIG;3;;r;16084;16085;1;;;;;;;;;;;;;;;;;;;;;;;;;
ES Dir;kessel;D4;1;;Richtung Einschubschnecke;DAQ-DIG;3;;r;16085;16086;1;;;;;;;;;;;;;;;;;;;;;;;;;
AS Saug;kessel;D4;1;1;Raumaustragung Sauger aktiv;DAQ-DIG;3;;r;16077;16078;1;;;;;;;;;;;;;;;;;;;;;;;;;
AS RA Run;kessel;D4;1;1;Raumaustragung aktiv;DAQ-DIG;3;;r;16086;16087;1;;;;;;;;;;;;;;;;;;;;;;;;;
AS RA Dir;kessel;D4;1;;Richtung Raumaustragung;DAQ-DIG;3;;r;16087;16088;1;;;;;;;;;;;;;;;;;;;;;;;;;
Rein En;kessel;D4;1;;Reinigung freigegeben;DAQ-DIG;3;;r;16188;16189;1;;;;;;;;;;;;;;;;;;;;;;;;;
Rein Run;kessel;D4;1;;Reinigung aktiv;DAQ-DIG;3;;r;16189;16190;1;;;;;;;;;;;;;;;;;;;;;;;;;
Es Rein Endl;kessel;D4;1;;Reinigung in Endlage;DAQ-DIG;3;;r;16161;16162;1;;;;;;;;;;;;;;;;;;;;;;;;;
sAS Anf Füll;kessel;D4;1;;Anforderung Füllen;DAQ-DIG;3;;r;16164;16165;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKPA;heizkreis_a;A61;1,2,3,4;;Pumpe Heizkreis A;DAQ-DIG;3;;r;16028;16029;1;;;;;;;;;;;;;;;;;;;;;;;;;
MAA;heizkreis_a;A61;1,2,3,4;;Mischer Auf Heizkreis A;DAQ-DIG;3;;r;16008;16009;1;;;;;;;;;;;;;;;;;;;;;;;;;
MAZ;heizkreis_a;A61;1,2,3,4;;Mischer Zu Heizkreis A;DAQ-DIG;3;;r;16009;16010;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKP1;heizkreis_1;A1;1,2,3,4;;Pumpe Heizkreis 1;DAQ-DIG;3;;r;16029;16030;1;;;;;;;;;;;;;;;;;;;;;;;;;
M1A;heizkreis_1;A1;1,2,3,4;;Mischer Auf Heizkreis 1;DAQ-DIG;3;;r;16010;16011;1;;;;;;;;;;;;;;;;;;;;;;;;;
M1Z;heizkreis_1;A1;1,2,3,4;;Mischer Zu Heizkreis 1;DAQ-DIG;3;;r;16011;16012;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKP2;heizkreis_2;A11;1,2,3,4;;Pumpe Heizkreis 2;DAQ-DIG;3;;r;16030;16031;1;;;;;;;;;;;;;;;;;;;;;;;;;
M2A;heizkreis_2;A11;1,2,3,4;;Mischer Auf Heizkreis 2;DAQ-DIG;3;;r;16012;16013;1;;;;;;;;;;;;;;;;;;;;;;;;;
M2Z;heizkreis_2;A11;1,2,3,4;;Mischer Zu Heizkreis 2;DAQ-DIG;3;;r;16013;16014;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKP3;heizkreis_3;A21;1,2,3,4;;Pumpe Heizkreis 3;DAQ-DIG;3;;r;16031;16032;1;;;;;;;;;;;;;;;;;;;;;;;;;
M3A;heizkreis_3;A21;1,2,3,4;;Mischer Auf Heizkreis 3;DAQ-DIG;3;;r;16014;16015;1;;;;;;;;;;;;;;;;;;;;;;;;;
M3Z;heizkreis_3;A21;1,2,3,4;;Mischer Zu Heizkreis 3;DAQ-DIG;3;;r;16015;16016;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKP4;heizkreis_4;A31;1,2,3,4;;Pumpe Heizkreis 4;DAQ-DIG;3;;r;16032;16033;1;;;;;;;;;;;;;;;;;;;;;;;;;
M4A;heizkreis_4;A31;1,2,3,4;;Mischer Auf Heizkreis 4;DAQ-DIG;3;;r;16016;16017;1;;;;;;;;;;;;;;;;;;;;;;;;;
M4Z;heizkreis_4;A31;1,2,3,4;;Mischer Zu Heizkreis 4;DAQ-DIG;3;;r;16017;16018;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKP5;heizkreis_5;A41;1,2,3,4;;Pumpe Heizkreis 5;DAQ-DIG;3;;r;16033;16034;1;;;;;;;;;;;;;;;;;;;;;;;;;
M5A;heizkreis_5;A41;1,2,3,4;;Mischer Auf Heizkreis 5;DAQ-DIG;3;;r;16018;16019;1;;;;;;;;;;;;;;;;;;;;;;;;;
M5Z;heizkreis_5;A41;1,2,3,4;;Mischer Zu Heizkreis 5;DAQ-DIG;3;;r;16019;16020;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKP6;heizkreis_6;A51;1,2,3,4;;Pumpe Heizkreis 6;DAQ-DIG;3;;r;16034;16035;1;;;;;;;;;;;;;;;;;;;;;;;;;
M6A;heizkreis_6;A51;1,2,3,4;;Mischer Auf Heizkreis 6;DAQ-DIG;3;;r;16020;16021;1;;;;;;;;;;;;;;;;;;;;;;;;;
M6Z;heizkreis_6;A51;1,2,3,4;;Mischer Zu Heizkreis 6;DAQ-DIG;3;;r;16021;16022;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKPB;heizkreis_b;A71;1,2,3,4;;Pumpe Heizkreis B;DAQ-DIG;3;;r;16035;16036;1;;;;;;;;;;;;;;;;;;;;;;;;;
MBA;heizkreis_b;A71;1,2,3,4;;Mischer Auf Heizkreis B;DAQ-DIG;3;;r;16022;16023;1;;;;;;;;;;;;;;;;;;;;;;;;;
MBZ;heizkreis_b;A71;1,2,3,4;;Mischer Zu Heizkreis B;DAQ-DIG;3;;r;16023;16024;1;;;;;;;;;;;;;;;;;;;;;;;;;
BPA;boiler_a;B31;1,2;;Pumpe Boiler A;DAQ-DIG;3;;r;16002;16003;1;;;;;;;;;;;;;;;;;;;;;;;;;
BP1;boiler_1;B1;1,2;;Pumpe Boiler 1;DAQ-DIG;3;;r;16003;16004;1;;;;;;;;;;;;;;;;;;;;;;;;;
BP2;boiler_2;B11;1,2;;Pumpe Boiler 2;DAQ-DIG;3;;r;16004;16005;1;;;;;;;;;;;;;;;;;;;;;;;;;
BP3;boiler_3;B21;1,2;;Pumpe Boiler 3;DAQ-DIG;3;;r;16005;16006;1;;;;;;;;;;;;;;;;;;;;;;;;;
BPB;boiler_b;B41;1,2;;Pumpe Boiler B;DAQ-DIG;3;;r;16006;16007;1;;;;;;;;;;;;;;;;;;;;;;;;;
BZPA;boiler_a;B31;1,2;;Zirkulationspumpe Boiler A;DAQ-DIG;3;;r;16049;16050;1;;;;;;;;;;;;;;;;;;;;;;;;;
BZP1;boiler_1;B1;1,2;;Zirkulationspumpe Boiler 1;DAQ-DIG;3;;r;16050;16051;1;;;;;;;;;;;;;;;;;;;;;;;;;
BZP2;boiler_2;B11;1,2;;Zirkulationspumpe Boiler 2;DAQ-DIG;3;;r;16051;16052;1;;;;;;;;;;;;;;;;;;;;;;;;;
BZP3;boiler_3;B21;1,2;;Zirkulationspumpe Boiler 3;DAQ-DIG;3;;r;16052;16053;1;;;;;;;;;;;;;;;;;;;;;;;;;
BZPB;boiler_b;B41;1,2;;Zirkulationspumpe Boiler B;DAQ-DIG;3;;r;16053;16054;1;;;;;;;;;;;;;;;;;;;;;;;;;
Aschebox;kessel;D4;1;1;Sicherheitsschalter Aschebox;DAQ-DIG;3;;r;16098;16099;1;;;;;;;;;;;;;;;;;;;;;;;;;
Netztrafo;system;;;;Netztrafo aktiv;DAQ-DIG;3;;r;16165;16166;1;;;;;;;;;;;;;;;;;;;;;;;;;
Netzrelais;system;;;;Netzrelais aktiv;DAQ-DIG;3;;r;16166;16167;1;;;;;;;;;;;;;;;;;;;;;;;;;
Lagerraum;system;;;;Sicherheitsschalter Lager;DAQ-DIG;3;;r;16101;16102;1;;;;;;;;;;;;;;;;;;;;;;;;;
FLP;fernleitung;;;;Pumpe Fernleitung 1;DAQ-DIG;3;;r;16107;16108;1;;;;;;;;;;;;;;;;;;;;;;;;;
ATW;system;;;;Abgastemperaturwächter;DAQ-DIG;3;;r;16113;16114;1;;;;;;;;;;;;;;;;;;;;;;;;;
Entasch gesp.;kessel;D4;1;1;Entaschung gesperrt;DAQ-DIG;3;;r;16112;16113;1;;;;;;;;;;;;;;;;;;;;;;;;;
HKV;system;;;;Heizkreisventil;DAQ-DIG;3;;r;16055;16056;1;;;;;;;;;;;;;;;;;;;;;;;;;
Spülung Aktiv;kessel;D4;1;1;Spülung aktiv Nano-PK Plus;DAQ-DIG;3;;r;16167;16168;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK vorh;system;;;;Externer Heizkreis vorhanden;DAQ-DIG;3;;r;16540;16541;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_2 vorh;heizkreis_2;A11;1,2,3,4;;Externer Heizkreis 2 vorhanden;DAQ-DIG;3;;r;16542;16543;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_3 vorh;heizkreis_3;A21;1,2,3,4;;Externer Heizkreis 3 vorhanden;DAQ-DIG;3;;r;16543;16544;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK Anf;system;;;;Anforderung externer Heizkreis;DAQ-DIG;3;;r;15999;16000;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_2 Anf;heizkreis_2;A11;1,2,3,4;;Anforderung externer Heizkreis 2;DAQ-DIG;3;;r;16001;16002;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_3 Anf;heizkreis_3;A21;1,2,3,4;;Anforderung externer Heizkreis 3;DAQ-DIG;3;;r;16115;16116;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK Pumpe;heizkreis_1;A1;1,2,3,4;;Pumpe externer Heizkreis 1;DAQ-DIG;3;;r;16025;16026;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_2 Pumpe;heizkreis_2;A11;1,2,3,4;;Pumpe externer Heizkreis 2;DAQ-DIG;3;;r;16027;16028;1;;;;;;;;;;;;;;;;;;;;;;;;;
ExtHK_3 Pumpe;heizkreis_3;A21;1,2,3,4;;Pumpe externer Heizkreis 3;DAQ-DIG;3;;r;16106;16107;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK1 MinLeist;kaskade;F1;1;;Kaskade minimale Leistung Kessel A;DAQ-DIG;3;;r;16120;16121;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK2 MinLeist;kaskade;F1;1;;Kaskade minimale Leistung Kessel B;DAQ-DIG;3;;r;16121;16122;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK3 MinLeist;kaskade;F1;1;;Kaskade minimale Leistung Kessel C;DAQ-DIG;3;;r;16122;16123;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK4 MinLeist;kaskade;F1;1;;Kaskade minimale Leistung Kessel D;DAQ-DIG;3;;r;16123;16124;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK1 MaxLeist;kaskade;F1;1;;Kaskade maximale Leistung Kessel A;DAQ-DIG;3;;r;16126;16127;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK2 MaxLeist;kaskade;F1;1;;Kaskade maximale Leistung Kessel B;DAQ-DIG;3;;r;16127;16128;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK3 MaxLeist;kaskade;F1;1;;Kaskade maximale Leistung Kessel C;DAQ-DIG;3;;r;16128;16129;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK4 MaxLeist;kaskade;F1;1;;Kaskade maximale Leistung Kessel D;DAQ-DIG;3;;r;16129;16130;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK1 Run;kaskade;F1;1;;Kaskade Kessel A aktiv;DAQ-DIG;3;;r;16132;16133;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK2 Run;kaskade;F1;1;;Kaskade Kessel B aktiv;DAQ-DIG;3;;r;16133;16134;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK3 Run;kaskade;F1;1;;Kaskade Kessel C aktiv;DAQ-DIG;3;;r;16134;16135;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK4 Run;kaskade;F1;1;;Kaskade Kessel D aktiv;DAQ-DIG;3;;r;16135;16136;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK1 OK;kaskade;F1;1;;Kaskade Kessel A Startbereit;DAQ-DIG;3;;r;16138;16139;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK2 OK;kaskade;F1;1;;Kaskade Kessel B Startbereit;DAQ-DIG;3;;r;16139;16140;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK3 OK;kaskade;F1;1;;Kaskade Kessel C Startbereit;DAQ-DIG;3;;r;16140;16141;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK4 OK;kaskade;F1;1;;Kaskade Kessel D Startbereit;DAQ-DIG;3;;r;16141;16142;1;;;;;;;;;;;;;;;;;;;;;;;;;
Kask KWK Out;kaskade;F1;1;;Kaskade KWK Out;DAQ-DIG;3;;r;16168;16169;1;;;;;;;;;;;;;;;;;;;;;;;;;
Kask FW Out;kessel;D4;1;;Ausgang Ölkessel;DAQ-DIG;3;;r;16157;16158;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK KWK OK;kaskade;F1;1;;Kaskade KWK ok;DAQ-DIG;3;;r;16162;16163;1;;;;;;;;;;;;;;;;;;;;;;;;;
KASK FW OK;kaskade;F1;1;;Kaskade FW ok;DAQ-DIG;3;;r;16163;16164;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg P2;differenzregler;G1;1,2,3;;Differenzregler Pumpe 2;DAQ-DIG;3;;r;16037;16038;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg P3;differenzregler;G1;1,2,3;;Differenzregler Pumpe 3;DAQ-DIG;3;;r;16038;16039;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg Mi auf;differenzregler;G1;1,2,3;;Differenzregler Mischer/Ventil Auf;DAQ-DIG;3;;r;16039;16040;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg Mi zu;differenzregler;G1;1,2,3;;Differenzregler Mischer Zu;DAQ-DIG;3;;r;16040;16041;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg2 P2;fremdwaerme;C9;1,2;;Fremdwärmeregler Pumpe 2;DAQ-DIG;3;;r;16041;16042;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg2 Mi auf;fremdwaerme;C9;1,2;;Fremdwärmeregler Mischer/Ventil Auf;DAQ-DIG;3;;r;16043;16044;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg2 Mi zu;fremdwaerme;C9;1,2;;Fremdwärmeregler Mischer Zu;DAQ-DIG;3;;r;16044;16045;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg3 P2;differenzregler;G1;1,2,3;;Differenzregler 3 Pumpe 2;DAQ-DIG;3;;r;16045;16046;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg3 P3;differenzregler;G1;1,2,3;;Differenzregler 3 Pumpe 3;DAQ-DIG;3;;r;16046;16047;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg3 Mi auf;differenzregler;G1;1,2,3;;Differenzregler 3 Mischer/Ventil Auf;DAQ-DIG;3;;r;16047;16048;1;;;;;;;;;;;;;;;;;;;;;;;;;
DReg3 Mi zu;differenzregler;G1;1,2,3;;Differenzregler 3 Mischer Zu;DAQ-DIG;3;;r;16048;16049;1;;;;;;;;;;;;;;;;;;;;;;;;;
PR010;heizkreis_a;A61;1,2,3,4;;Heizkreis A Modus;WAHL;3;6;rw;19999;20000;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR011;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Modus;WAHL;3;6;rw;20000;20001;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR012;heizkreis_2;A11;1,2,3,4;;Heizkreis 2 Modus;WAHL;3;6;rw;20001;20002;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR013;heizkreis_3;A21;1,2,3,4;;Heizkreis 3 Modus;WAHL;3;6;rw;20002;20003;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR014;heizkreis_4;A31;1,2,3,4;;Heizkreis 4 Modus;WAHL;3;6;rw;20003;20004;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR015;heizkreis_5;A41;1,2,3,4;;Heizkreis 5 Modus;WAHL;3;6;rw;20004;20005;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR016;heizkreis_6;A51;1,2,3,4;;Heizkreis 6 Modus;WAHL;3;6;rw;20005;20006;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR017;heizkreis_b;A71;1,2,3,4;;Heizkreis B Modus;WAHL;3;6;rw;20006;20007;1;;;;;Aus;Auto;Absenken;Heizen;1x Heizen;Kühlen;;;;;;;;;;;;;;;
PR030;knx;;;;Auswahl Wochenprogramm KNX;WAHL;3;6;rw;20007;20008;1;;;;;0;1;2;3;4;5;6;;;;;;;;;;;;;;
PR040;zentralpuffer;C2;1,2,3,4,5;1;Zentralpuffer Ladung starten;WAHL;3;6;rw;20929;20930;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
PR041;boiler_a;B31;1,2;;Boiler A Ladung starten;WAHL;3;6;rw;20930;20931;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
PR042;boiler_1;B1;1,2;;Boiler 1 Ladung starten;WAHL;3;6;rw;20931;20932;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
PR043;boiler_2;B11;1,2;;Boiler 2 Ladung starten;WAHL;3;6;rw;20932;20933;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
PR044;boiler_3;B21;1,2;;Boiler 3 Ladung starten;WAHL;3;6;rw;20933;20934;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
PR045;boiler_b;B41;1,2;;Boiler B Ladung starten;WAHL;3;6;rw;20934;20935;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
PR051;zusatzpuffer_hkm1;C30;1,2,3,4,5;;Zusatzpuffer HKM1 Ladung starten;WAHL;3;;rw;23981;23982;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
PR052;zusatzpuffer_hkm2;C40;1,2,3,4,5;;Zusatzpuffer HKM2 Ladung starten;WAHL;3;;rw;23982;23983;1;;;;;Nein;Ja;;;;;;;;;;;;;;;;;;;
1;boiler_1;B1;1,2;;Boiler 1 Tagesuhr Mo-So;TPROG;3;16;rw;20099;20100;1;;;;;;;;;;;;;;;;;;;;;;;;;
1a;boiler_1;B1;1,2;;Boiler 1 Wochenuhr;WPROG;3;16;rw;20103;20104;1;;;;;;;;;;;;;;;;;;;;;;;;;
1b;boiler_1;B1;1,2;;Boiler 1 Wochenuhr;WPROG;3;16;rw;20108;20109;1;;;;;;;;;;;;;;;;;;;;;;;;;
1c;boiler_1;B1;1,2;;Boiler 1 Wochenuhr;WPROG;3;16;rw;20113;20114;1;;;;;;;;;;;;;;;;;;;;;;;;;
1d;boiler_1;B1;1,2;;Boiler 1 Wochenuhr;WPROG;3;16;rw;20118;20119;1;;;;;;;;;;;;;;;;;;;;;;;;;
1e;boiler_1;B1;1,2;;Boiler 1 Wochenuhr;WPROG;3;16;rw;20123;20124;1;;;;;;;;;;;;;;;;;;;;;;;;;
1f;boiler_1;B1;1,2;;Boiler 1 Wochenuhr;WPROG;3;16;rw;20128;20129;1;;;;;;;;;;;;;;;;;;;;;;;;;
1g;boiler_1;B1;1,2;;Boiler 1 Wochenuhr;WPROG;3;16;rw;20133;20134;1;;;;;;;;;;;;;;;;;;;;;;;;;
2;boiler_1;B1;1,2;;Boiler 1 Solltemperatur;INT;3;;rw;20138;20139;1;°C;10;84;1;;;;;;;;;;;;;;;;;;;;;
2a;boiler_1;B1;1,2;;Boiler 1 Zirkulationspumpe;TPROG;3;16;rw;20139;20140;1;;;;;;;;;;;;;;;;;;;;;;;;;
3;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Tagesuhr Mo-So;TPROG;3;16;rw;20143;20144;1;;;;;;;;;;;;;;;;;;;;;;;;;
3a;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Wochenuhr;WPROG;3;16;rw;20147;20148;1;;;;;;;;;;;;;;;;;;;;;;;;;
3b;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Wochenuhr;WPROG;3;16;rw;20152;20153;1;;;;;;;;;;;;;;;;;;;;;;;;;
3c;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Wochenuhr;WPROG;3;16;rw;20157;20158;1;;;;;;;;;;;;;;;;;;;;;;;;;
3d;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Wochenuhr;WPROG;3;16;rw;20162;20163;1;;;;;;;;;;;;;;;;;;;;;;;;;
3e;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Wochenuhr;WPROG;3;16;rw;20167;20168;1;;;;;;;;;;;;;;;;;;;;;;;;;
3f;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Wochenuhr;WPROG;3;16;rw;20172;20173;1;;;;;;;;;;;;;;;;;;;;;;;;;
3g;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Wochenuhr;WPROG;3;16;rw;20177;20178;1;;;;;;;;;;;;;;;;;;;;;;;;;
4;heizkreis_1;A1;1,2,3,4;;Heizkreis 1 Tages-Raumtemperatur;FLOAT;3;;rw;20182;20183;1;°C;14.00;26.00;0.50;;;;;;;;;;;;;;;;;;;;;
